time;value
2023-10-22 00:00:00;0.236
2023-10-22 01:00:00;0.175
2023-10-22 02:00:00;0.165
2023-10-22 03:00:00;0.163
2023-10-22 04:00:00;0.17
2023-10-22 05:00:00;0.221
2023-10-22 06:00:00;0.352
2023-10-22 07:00:00;0.489
2023-10-22 08:00:00;0.568
2023-10-22 09:00:00;0.616
2023-10-22 10:00:00;0.649
2023-10-22 11:00:00;0.685
2023-10-22 12:00:00;0.67
2023-10-22 13:00:00;0.609
2023-10-22 14:00:00;0.561
2023-10-22 15:00:00;0.553
2023-10-22 16:00:00;0.602
2023-10-22 17:00:00;0.692
2023-10-22 18:00:00;0.748
2023-10-22 19:00:00;0.681
2023-10-22 20:00:00;0.556
2023-10-22 21:00:00;0.523
2023-10-22 22:00:00;0.44
2023-10-22 23:00:00;0.319
2023-10-23 00:00:00;0.187
2023-10-23 01:00:00;0.185
2023-10-23 02:00:00;0.168
2023-10-23 03:00:00;0.164
2023-10-23 04:00:00;0.164
2023-10-23 05:00:00;0.173
2023-10-23 06:00:00;0.248
2023-10-23 07:00:00;0.422
2023-10-23 08:00:00;0.605
2023-10-23 09:00:00;0.701
2023-10-23 10:00:00;0.778
2023-10-23 11:00:00;0.787
2023-10-23 12:00:00;0.639
2023-10-23 13:00:00;0.516
2023-10-23 14:00:00;0.459
2023-10-23 15:00:00;0.407
2023-10-23 16:00:00;0.423
2023-10-23 17:00:00;0.521
2023-10-23 18:00:00;0.61
2023-10-23 19:00:00;0.586
2023-10-23 20:00:00;0.545
2023-10-23 21:00:00;0.484
2023-10-23 22:00:00;0.356
2023-10-23 23:00:00;0.253
2023-10-24 00:00:00;0.188
2023-10-24 01:00:00;0.168
2023-10-24 02:00:00;0.164
2023-10-24 03:00:00;0.168
2023-10-24 04:00:00;0.2
2023-10-24 05:00:00;0.354
2023-10-24 06:00:00;0.494
2023-10-24 07:00:00;0.523
2023-10-24 08:00:00;0.517
2023-10-24 09:00:00;0.502
2023-10-24 10:00:00;0.507
2023-10-24 11:00:00;0.569
2023-10-24 12:00:00;0.554
2023-10-24 13:00:00;0.482
2023-10-24 14:00:00;0.431
2023-10-24 15:00:00;0.404
2023-10-24 16:00:00;0.443
2023-10-24 17:00:00;0.551
2023-10-24 18:00:00;0.654
2023-10-24 19:00:00;0.639
2023-10-24 20:00:00;0.593
2023-10-24 21:00:00;0.516
2023-10-24 22:00:00;0.381
2023-10-24 23:00:00;0.254
2023-10-25 00:00:00;0.189
2023-10-25 01:00:00;0.169
2023-10-25 02:00:00;0.165
2023-10-25 03:00:00;0.168
2023-10-25 04:00:00;0.201
2023-10-25 05:00:00;0.355
2023-10-25 06:00:00;0.496
2023-10-25 07:00:00;0.525
2023-10-25 08:00:00;0.519
2023-10-25 09:00:00;0.504
2023-10-25 10:00:00;0.509
2023-10-25 11:00:00;0.571
2023-10-25 12:00:00;0.556
2023-10-25 13:00:00;0.484
2023-10-25 14:00:00;0.433
2023-10-25 15:00:00;0.406
2023-10-25 16:00:00;0.444
2023-10-25 17:00:00;0.553
2023-10-25 18:00:00;0.657
2023-10-25 19:00:00;0.642
2023-10-25 20:00:00;0.596
2023-10-25 21:00:00;0.518
2023-10-25 22:00:00;0.383
2023-10-25 23:00:00;0.255
2023-10-26 00:00:00;0.189
2023-10-26 01:00:00;0.17
2023-10-26 02:00:00;0.165
2023-10-26 03:00:00;0.169
2023-10-26 04:00:00;0.202
2023-10-26 05:00:00;0.356
2023-10-26 06:00:00;0.498
2023-10-26 07:00:00;0.527
2023-10-26 08:00:00;0.521
2023-10-26 09:00:00;0.506
2023-10-26 10:00:00;0.511
2023-10-26 11:00:00;0.574
2023-10-26 12:00:00;0.559
2023-10-26 13:00:00;0.486
2023-10-26 14:00:00;0.435
2023-10-26 15:00:00;0.407
2023-10-26 16:00:00;0.446
2023-10-26 17:00:00;0.556
2023-10-26 18:00:00;0.659
2023-10-26 19:00:00;0.645
2023-10-26 20:00:00;0.598
2023-10-26 21:00:00;0.52
2023-10-26 22:00:00;0.384
2023-10-26 23:00:00;0.256
2023-10-27 00:00:00;0.19
2023-10-27 01:00:00;0.171
2023-10-27 02:00:00;0.166
2023-10-27 03:00:00;0.17
2023-10-27 04:00:00;0.203
2023-10-27 05:00:00;0.358
2023-10-27 06:00:00;0.5
2023-10-27 07:00:00;0.529
2023-10-27 08:00:00;0.523
2023-10-27 09:00:00;0.508
2023-10-27 10:00:00;0.513
2023-10-27 11:00:00;0.576
2023-10-27 12:00:00;0.561
2023-10-27 13:00:00;0.488
2023-10-27 14:00:00;0.437
2023-10-27 15:00:00;0.409
2023-10-27 16:00:00;0.448
2023-10-27 17:00:00;0.558
2023-10-27 18:00:00;0.662
2023-10-27 19:00:00;0.647
2023-10-27 20:00:00;0.6
2023-10-27 21:00:00;0.523
2023-10-27 22:00:00;0.386
2023-10-27 23:00:00;0.257
2023-10-28 00:00:00;0.219
2023-10-28 01:00:00;0.171
2023-10-28 02:00:00;0.167
2023-10-28 03:00:00;0.17
2023-10-28 04:00:00;0.203
2023-10-28 05:00:00;0.359
2023-10-28 06:00:00;0.501
2023-10-28 07:00:00;0.532
2023-10-28 08:00:00;0.526
2023-10-28 09:00:00;0.51
2023-10-28 10:00:00;0.515
2023-10-28 11:00:00;0.578
2023-10-28 12:00:00;0.563
2023-10-28 13:00:00;0.49
2023-10-28 14:00:00;0.438
2023-10-28 15:00:00;0.41
2023-10-28 16:00:00;0.45
2023-10-28 17:00:00;0.56
2023-10-28 18:00:00;0.665
2023-10-28 19:00:00;0.65
2023-10-28 20:00:00;0.603
2023-10-28 21:00:00;0.525
2023-10-28 22:00:00;0.388
2023-10-28 23:00:00;0.284
