time;value
2023-08-06 00:00:00;0.199
2023-08-06 01:00:00;0.156
2023-08-06 02:00:00;0.149
2023-08-06 03:00:00;0.150
2023-08-06 04:00:00;0.154
2023-08-06 05:00:00;0.190
2023-08-06 06:00:00;0.277
2023-08-06 07:00:00;0.382
2023-08-06 08:00:00;0.464
2023-08-06 09:00:00;0.491
2023-08-06 10:00:00;0.510
2023-08-06 11:00:00;0.543
2023-08-06 12:00:00;0.524
2023-08-06 13:00:00;0.468
2023-08-06 14:00:00;0.442
2023-08-06 15:00:00;0.431
2023-08-06 16:00:00;0.444
2023-08-06 17:00:00;0.496
2023-08-06 18:00:00;0.537
2023-08-06 19:00:00;0.515
2023-08-06 20:00:00;0.458
2023-08-06 21:00:00;0.443
2023-08-06 22:00:00;0.371
2023-08-06 23:00:00;0.267
2023-08-07 00:00:00;0.164
2023-08-07 01:00:00;0.162
2023-08-07 02:00:00;0.151
2023-08-07 03:00:00;0.149
2023-08-07 04:00:00;0.145
2023-08-07 05:00:00;0.153
2023-08-07 06:00:00;0.207
2023-08-07 07:00:00;0.335
2023-08-07 08:00:00;0.478
2023-08-07 09:00:00;0.556
2023-08-07 10:00:00;0.613
2023-08-07 11:00:00;0.624
2023-08-07 12:00:00;0.523
2023-08-07 13:00:00;0.430
2023-08-07 14:00:00;0.371
2023-08-07 15:00:00;0.323
2023-08-07 16:00:00;0.327
2023-08-07 17:00:00;0.378
2023-08-07 18:00:00;0.453
2023-08-07 19:00:00;0.475
2023-08-07 20:00:00;0.449
2023-08-07 21:00:00;0.418
2023-08-07 22:00:00;0.322
2023-08-07 23:00:00;0.220
2023-08-08 00:00:00;0.164
2023-08-08 01:00:00;0.149
2023-08-08 02:00:00;0.140
2023-08-08 03:00:00;0.146
2023-08-08 04:00:00;0.177
2023-08-08 05:00:00;0.292
2023-08-08 06:00:00;0.387
2023-08-08 07:00:00;0.423
2023-08-08 08:00:00;0.430
2023-08-08 09:00:00;0.415
2023-08-08 10:00:00;0.424
2023-08-08 11:00:00;0.471
2023-08-08 12:00:00;0.456
2023-08-08 13:00:00;0.393
2023-08-08 14:00:00;0.354
2023-08-08 15:00:00;0.342
2023-08-08 16:00:00;0.365
2023-08-08 17:00:00;0.424
2023-08-08 18:00:00;0.493
2023-08-08 19:00:00;0.497
2023-08-08 20:00:00;0.470
2023-08-08 21:00:00;0.431
2023-08-08 22:00:00;0.334
2023-08-08 23:00:00;0.220
2023-08-09 00:00:00;0.164
2023-08-09 01:00:00;0.149
2023-08-09 02:00:00;0.140
2023-08-09 03:00:00;0.146
2023-08-09 04:00:00;0.177
2023-08-09 05:00:00;0.292
2023-08-09 06:00:00;0.387
2023-08-09 07:00:00;0.423
2023-08-09 08:00:00;0.430
2023-08-09 09:00:00;0.416
2023-08-09 10:00:00;0.424
2023-08-09 11:00:00;0.471
2023-08-09 12:00:00;0.456
2023-08-09 13:00:00;0.393
2023-08-09 14:00:00;0.355
2023-08-09 15:00:00;0.343
2023-08-09 16:00:00;0.366
2023-08-09 17:00:00;0.425
2023-08-09 18:00:00;0.493
2023-08-09 19:00:00;0.497
2023-08-09 20:00:00;0.470
2023-08-09 21:00:00;0.431
2023-08-09 22:00:00;0.335
2023-08-09 23:00:00;0.220
