time;value
2023-08-06 00:00;138.535
2023-08-06 01:00;139.263
2023-08-06 02:00;166.515
2023-08-06 03:00;219.799
2023-08-06 04:00;213.392
2023-08-06 05:00;213.864
2023-08-06 06:00;293.82
2023-08-06 07:00;402.421
2023-08-06 08:00;447.678
2023-08-06 09:00;459.416
2023-08-06 10:00;461.295
2023-08-06 11:00;475.954
2023-08-06 12:00;481.453
2023-08-06 13:00;461.549
2023-08-06 14:00;435.825
2023-08-06 15:00;419.112
2023-08-06 16:00;380.483
2023-08-06 17:00;288.925
2023-08-06 18:00;161.648
2023-08-06 19:00;166.645
2023-08-06 20:00;160.811
2023-08-06 21:00;146.54
2023-08-06 22:00;136.312
2023-08-06 23:00;122.544
2023-08-07 00:00;102.132
2023-08-07 01:00;91.597
2023-08-07 02:00;79.804
2023-08-07 03:00;74.44
2023-08-07 04:00;66.144
2023-08-07 05:00;76.405
2023-08-07 06:00;114.078
2023-08-07 07:00;127.314
2023-08-07 08:00;142.178
2023-08-07 09:00;159.771
2023-08-07 10:00;165.631
2023-08-07 11:00;153.232
2023-08-07 12:00;147.234
2023-08-07 13:00;138.13
2023-08-07 14:00;121.828
2023-08-07 15:00;100.765
2023-08-07 16:00;76.422
2023-08-07 17:00;51.474
2023-08-07 18:00;31.997
2023-08-07 19:00;18.025
2023-08-07 20:00;8.249
2023-08-07 21:00;5.423
2023-08-07 22:00;7.314
2023-08-07 23:00;8.333
2023-08-08 00:00;10.083
2023-08-08 01:00;11.777
2023-08-08 02:00;13.407
2023-08-08 03:00;12.372
2023-08-08 04:00;8.857
2023-08-08 05:00;6.092
2023-08-08 06:00;5.355
2023-08-08 07:00;15.636
2023-08-08 08:00;26.122
2023-08-08 09:00;38.678
2023-08-08 10:00;53.581
2023-08-08 11:00;68.578
2023-08-08 12:00;78.746
2023-08-08 13:00;86.799
2023-08-08 14:00;88.926
2023-08-08 15:00;84.509
2023-08-08 16:00;74.318
2023-08-08 17:00;46.572
2023-08-08 18:00;21.147
2023-08-08 19:00;9.853
2023-08-08 20:00;8.976
2023-08-08 21:00;11.241
2023-08-08 22:00;16.306
2023-08-08 23:00;21.143
2023-08-09 00:00;23.437
2023-08-09 01:00;28.984
2023-08-09 02:00;30.086
2023-08-09 03:00;31.283
2023-08-09 04:00;29.881
2023-08-09 05:00;28.839
2023-08-09 06:00;44.617
2023-08-09 07:00;64.228
2023-08-09 08:00;85.94
2023-08-09 09:00;108.138
2023-08-09 10:00;131.872
2023-08-09 11:00;144.889
2023-08-09 12:00;154.555
2023-08-09 13:00;158.079
2023-08-09 14:00;154.362
2023-08-09 15:00;144.846
2023-08-09 16:00;124.701
2023-08-09 17:00;84.477
2023-08-09 18:00;50.573
2023-08-09 19:00;27.343
2023-08-09 20:00;14.123
2023-08-09 21:00;8.292
2023-08-09 22:00;11.352
2023-08-09 23:00;14.875
2023-08-10 00:00;17.452
2023-08-10 01:00;18.85
2023-08-10 02:00;19.178
2023-08-10 03:00;20.918
2023-08-10 04:00;23.577
2023-08-10 05:00;24.039
2023-08-10 06:00;14.938
2023-08-10 07:00;15.643
2023-08-10 08:00;14.294
2023-08-10 09:00;15.152
2023-08-10 10:00;13.689
2023-08-10 11:00;51.895
2023-08-10 12:00;100.668
2023-08-10 13:00;112.346
2023-08-10 14:00;90.395
2023-08-10 15:00;50.913
2023-08-10 16:00;27.677
2023-08-10 17:00;17.103
2023-08-10 18:00;9.017
2023-08-10 19:00;4.855
2023-08-10 20:00;5.919
2023-08-10 21:00;6.152
2023-08-10 22:00;6.898
2023-08-10 23:00;7.919
2023-08-11 00:00;9.093
2023-08-11 01:00;10.393
2023-08-11 02:00;9.965
2023-08-11 03:00;10.019
2023-08-11 04:00;10.719
2023-08-11 05:00;11.101
2023-08-11 06:00;4.4
2023-08-11 07:00;6.107
2023-08-11 08:00;9.202
2023-08-11 09:00;8.181
2023-08-11 10:00;8.945
2023-08-11 11:00;12.388
2023-08-11 12:00;17.975
2023-08-11 13:00;23.973
2023-08-11 14:00;30.23
2023-08-11 15:00;34.3
2023-08-11 16:00;27.875
2023-08-11 17:00;14.599
2023-08-11 18:00;6.329
2023-08-11 19:00;4.859
2023-08-11 20:00;8.497
2023-08-11 21:00;14.024
2023-08-11 22:00;17.119
2023-08-11 23:00;19.198
2023-08-12 00:00;21.643
2023-08-12 01:00;22.998
2023-08-12 02:00;23.01
2023-08-12 03:00;24.338
2023-08-12 04:00;24.527
2023-08-12 05:00;25.757
2023-08-12 06:00;30.252
2023-08-12 07:00;53.917
2023-08-12 08:00;59.45
2023-08-12 09:00;68.291
2023-08-12 10:00;83.326
2023-08-12 11:00;99.119
2023-08-12 12:00;103.146
2023-08-12 13:00;99.72
2023-08-12 14:00;84.532
2023-08-12 15:00;67.109
2023-08-12 16:00;47.26
2023-08-12 17:00;25.763
2023-08-12 18:00;9.105
2023-08-12 19:00;2.19
2023-08-12 20:00;3.977
2023-08-12 21:00;5.389
2023-08-12 22:00;5.151
2023-08-12 23:00;5.082
