time;value
2023-08-06 00:00:00;0.2
2023-08-06 01:00:00;0.157
2023-08-06 02:00:00;0.15
2023-08-06 03:00:00;0.151
2023-08-06 04:00:00;0.155
2023-08-06 05:00:00;0.191
2023-08-06 06:00:00;0.279
2023-08-06 07:00:00;0.385
2023-08-06 08:00:00;0.467
2023-08-06 09:00:00;0.494
2023-08-06 10:00:00;0.513
2023-08-06 11:00:00;0.546
2023-08-06 12:00:00;0.528
2023-08-06 13:00:00;0.471
2023-08-06 14:00:00;0.445
2023-08-06 15:00:00;0.434
2023-08-06 16:00:00;0.446
2023-08-06 17:00:00;0.499
2023-08-06 18:00:00;0.541
2023-08-06 19:00:00;0.518
2023-08-06 20:00:00;0.461
2023-08-06 21:00:00;0.445
2023-08-06 22:00:00;0.374
2023-08-06 23:00:00;0.269
2023-08-07 00:00:00;0.165
2023-08-07 01:00:00;0.163
2023-08-07 02:00:00;0.152
2023-08-07 03:00:00;0.15
2023-08-07 04:00:00;0.146
2023-08-07 05:00:00;0.154
2023-08-07 06:00:00;0.209
2023-08-07 07:00:00;0.337
2023-08-07 08:00:00;0.481
2023-08-07 09:00:00;0.56
2023-08-07 10:00:00;0.617
2023-08-07 11:00:00;0.628
2023-08-07 12:00:00;0.526
2023-08-07 13:00:00;0.432
2023-08-07 14:00:00;0.373
2023-08-07 15:00:00;0.325
2023-08-07 16:00:00;0.329
2023-08-07 17:00:00;0.38
2023-08-07 18:00:00;0.456
2023-08-07 19:00:00;0.478
2023-08-07 20:00:00;0.452
2023-08-07 21:00:00;0.421
2023-08-07 22:00:00;0.324
2023-08-07 23:00:00;0.221
2023-08-08 00:00:00;0.165
2023-08-08 01:00:00;0.15
2023-08-08 02:00:00;0.141
2023-08-08 03:00:00;0.147
2023-08-08 04:00:00;0.178
2023-08-08 05:00:00;0.294
2023-08-08 06:00:00;0.39
2023-08-08 07:00:00;0.425
2023-08-08 08:00:00;0.433
2023-08-08 09:00:00;0.418
2023-08-08 10:00:00;0.426
2023-08-08 11:00:00;0.474
2023-08-08 12:00:00;0.459
2023-08-08 13:00:00;0.396
2023-08-08 14:00:00;0.357
2023-08-08 15:00:00;0.345
2023-08-08 16:00:00;0.368
2023-08-08 17:00:00;0.427
2023-08-08 18:00:00;0.496
2023-08-08 19:00:00;0.501
2023-08-08 20:00:00;0.473
2023-08-08 21:00:00;0.434
2023-08-08 22:00:00;0.337
2023-08-08 23:00:00;0.221
2023-08-09 00:00:00;0.165
2023-08-09 01:00:00;0.15
2023-08-09 02:00:00;0.141
2023-08-09 03:00:00;0.147
2023-08-09 04:00:00;0.178
2023-08-09 05:00:00;0.295
2023-08-09 06:00:00;0.39
2023-08-09 07:00:00;0.426
2023-08-09 08:00:00;0.433
2023-08-09 09:00:00;0.419
2023-08-09 10:00:00;0.427
2023-08-09 11:00:00;0.475
2023-08-09 12:00:00;0.459
