time;value
2023-01-08 00:00:00;0.372
2023-01-08 01:00:00;0.252
2023-01-08 02:00:00;0.200
2023-01-08 03:00:00;0.189
2023-01-08 04:00:00;0.183
2023-01-08 05:00:00;0.191
2023-01-08 06:00:00;0.253
2023-01-08 07:00:00;0.390
2023-01-08 08:00:00;0.570
2023-01-08 09:00:00;0.674
2023-01-08 10:00:00;0.704
2023-01-08 11:00:00;0.738
2023-01-08 12:00:00;0.793
2023-01-08 13:00:00;0.789
2023-01-08 14:00:00;0.730
2023-01-08 15:00:00;0.684
2023-01-08 16:00:00;0.689
2023-01-08 17:00:00;0.859
2023-01-08 18:00:00;0.997
2023-01-08 19:00:00;1.000
2023-01-08 20:00:00;0.818
2023-01-08 21:00:00;0.638
2023-01-08 22:00:00;0.583
2023-01-08 23:00:00;0.495
2023-01-09 00:00:00;0.278
2023-01-09 01:00:00;0.268
2023-01-09 02:00:00;0.215
2023-01-09 03:00:00;0.196
2023-01-09 04:00:00;0.184
2023-01-09 05:00:00;0.184
2023-01-09 06:00:00;0.195
2023-01-09 07:00:00;0.238
2023-01-09 08:00:00;0.421
2023-01-09 09:00:00;0.659
2023-01-09 10:00:00;0.829
2023-01-09 11:00:00;0.965
2023-01-09 12:00:00;0.984
2023-01-09 13:00:00;0.824
2023-01-09 14:00:00;0.648
2023-01-09 15:00:00;0.555
2023-01-09 16:00:00;0.508
2023-01-09 17:00:00;0.598
2023-01-09 18:00:00;0.744
2023-01-09 19:00:00;0.839
2023-01-09 20:00:00;0.762
2023-01-09 21:00:00;0.645
2023-01-09 22:00:00;0.546
2023-01-09 23:00:00;0.403
2023-01-10 00:00:00;0.278
2023-01-10 01:00:00;0.205
2023-01-10 02:00:00;0.188
2023-01-10 03:00:00;0.183
2023-01-10 04:00:00;0.186
2023-01-10 05:00:00;0.223
2023-01-10 06:00:00;0.429
2023-01-10 07:00:00;0.616
2023-01-10 08:00:00;0.635
2023-01-10 09:00:00;0.586
2023-01-10 10:00:00;0.553
2023-01-10 11:00:00;0.563
2023-01-10 12:00:00;0.622
2023-01-10 13:00:00;0.616
2023-01-10 14:00:00;0.549
2023-01-10 15:00:00;0.499
2023-01-10 16:00:00;0.501
2023-01-10 17:00:00;0.612
2023-01-10 18:00:00;0.791
2023-01-10 19:00:00;0.890
2023-01-10 20:00:00;0.801
2023-01-10 21:00:00;0.671
2023-01-10 22:00:00;0.555
2023-01-10 23:00:00;0.411
2023-01-11 00:00:00;0.277
2023-01-11 01:00:00;0.205
2023-01-11 02:00:00;0.188
2023-01-11 03:00:00;0.183
2023-01-11 04:00:00;0.186
2023-01-11 05:00:00;0.223
2023-01-11 06:00:00;0.429
2023-01-11 07:00:00;0.616
2023-01-11 08:00:00;0.635
2023-01-11 09:00:00;0.586
2023-01-11 10:00:00;0.553
2023-01-11 11:00:00;0.563
2023-01-11 12:00:00;0.622
2023-01-11 13:00:00;0.616
2023-01-11 14:00:00;0.549
2023-01-11 15:00:00;0.499
2023-01-11 16:00:00;0.501
2023-01-11 17:00:00;0.612
2023-01-11 18:00:00;0.791
2023-01-11 19:00:00;0.890
2023-01-11 20:00:00;0.801
2023-01-11 21:00:00;0.671
2023-01-11 22:00:00;0.555
2023-01-11 23:00:00;0.411
2023-01-12 00:00:00;0.277
2023-01-12 01:00:00;0.205
2023-01-12 02:00:00;0.188
2023-01-12 03:00:00;0.183
2023-01-12 04:00:00;0.186
2023-01-12 05:00:00;0.223
2023-01-12 06:00:00;0.429
2023-01-12 07:00:00;0.616
2023-01-12 08:00:00;0.635
2023-01-12 09:00:00;0.586
2023-01-12 10:00:00;0.553
2023-01-12 11:00:00;0.563
2023-01-12 12:00:00;0.622
2023-01-12 13:00:00;0.616
2023-01-12 14:00:00;0.549
2023-01-12 15:00:00;0.499
2023-01-12 16:00:00;0.501
2023-01-12 17:00:00;0.612
2023-01-12 18:00:00;0.791
2023-01-12 19:00:00;0.890
2023-01-12 20:00:00;0.801
2023-01-12 21:00:00;0.671
2023-01-12 22:00:00;0.555
2023-01-12 23:00:00;0.411
2023-01-13 00:00:00;0.277
2023-01-13 01:00:00;0.205
2023-01-13 02:00:00;0.188
2023-01-13 03:00:00;0.183
2023-01-13 04:00:00;0.186
2023-01-13 05:00:00;0.223
2023-01-13 06:00:00;0.429
2023-01-13 07:00:00;0.616
2023-01-13 08:00:00;0.635
2023-01-13 09:00:00;0.586
2023-01-13 10:00:00;0.553
2023-01-13 11:00:00;0.563
2023-01-13 12:00:00;0.622
2023-01-13 13:00:00;0.616
2023-01-13 14:00:00;0.549
2023-01-13 15:00:00;0.499
2023-01-13 16:00:00;0.501
2023-01-13 17:00:00;0.612
2023-01-13 18:00:00;0.791
2023-01-13 19:00:00;0.890
2023-01-13 20:00:00;0.800
2023-01-13 21:00:00;0.671
2023-01-13 22:00:00;0.555
2023-01-13 23:00:00;0.411
2023-01-14 00:00:00;0.319
2023-01-14 01:00:00;0.205
2023-01-14 02:00:00;0.188
2023-01-14 03:00:00;0.183
2023-01-14 04:00:00;0.186
2023-01-14 05:00:00;0.223
2023-01-14 06:00:00;0.428
2023-01-14 07:00:00;0.616
2023-01-14 08:00:00;0.635
2023-01-14 09:00:00;0.586
2023-01-14 10:00:00;0.553
2023-01-14 11:00:00;0.563
2023-01-14 12:00:00;0.622
2023-01-14 13:00:00;0.616
2023-01-14 14:00:00;0.549
2023-01-14 15:00:00;0.499
2023-01-14 16:00:00;0.501
2023-01-14 17:00:00;0.612
2023-01-14 18:00:00;0.790
2023-01-14 19:00:00;0.890
2023-01-14 20:00:00;0.800
2023-01-14 21:00:00;0.671
2023-01-14 22:00:00;0.555
2023-01-14 23:00:00;0.411
