"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Switzerland (CH)","01.01.2024 00:00 - 01.01.2024 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","44","","218","255","n/e","3023","n/e","n/e","0","n/e","n/e","43"
"Switzerland (CH)","01.01.2024 01:00 - 01.01.2024 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","76","","221","268","n/e","3022","n/e","n/e","0","n/e","n/e","38"
"Switzerland (CH)","01.01.2024 02:00 - 01.01.2024 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","56","","218","278","n/e","3021","n/e","n/e","0","n/e","n/e","35"
"Switzerland (CH)","01.01.2024 03:00 - 01.01.2024 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","48","","219","284","n/e","3020","n/e","n/e","0","n/e","n/e","44"
"Switzerland (CH)","01.01.2024 04:00 - 01.01.2024 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","66","","218","301","n/e","3020","n/e","n/e","0","n/e","n/e","41"
"Switzerland (CH)","01.01.2024 05:00 - 01.01.2024 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","","218","274","n/e","3019","n/e","n/e","0","n/e","n/e","43"
"Switzerland (CH)","01.01.2024 06:00 - 01.01.2024 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","42","","218","264","n/e","3018","n/e","n/e","0","n/e","n/e","45"
"Switzerland (CH)","01.01.2024 07:00 - 01.01.2024 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","42","","218","295","n/e","3018","n/e","n/e","0","n/e","n/e","44"
"Switzerland (CH)","01.01.2024 08:00 - 01.01.2024 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","","217","267","n/e","3018","n/e","n/e","2","n/e","n/e","42"
"Switzerland (CH)","01.01.2024 09:00 - 01.01.2024 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","103","","218","270","n/e","3015","n/e","n/e","108","n/e","n/e","39"
"Switzerland (CH)","01.01.2024 10:00 - 01.01.2024 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","94","","218","234","n/e","3018","n/e","n/e","454","n/e","n/e","34"
