# Renewables.ninja Heating & cooling demand (Point API) - 46.231, 7.359 - Version: 1.0 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1038/s41560-023-01341-5
# Units: time in UTC, local_time in Europe/Zurich, total_demand in unknown, heating_demand in unknown, cooling_demand in unknown
# {"units": {"time": "UTC", "local_time": "Europe/Zurich", "total_demand": "unknown", "heating_demand": "unknown", "cooling_demand": "unknown"}, "params": {"local_time": true, "header": true, "lat": "46.2311749", "lon": "7.3588795", "date_from": "2023-01-01", "date_to": "2023-12-31", "dataset": "merra2", "heating_threshold": "14", "cooling_threshold": "20", "base_power": "0", "heating_power": "0.3", "cooling_power": "0.15", "smoothing": "0.5", "solar_gains": "0.012", "wind_chill": "-0.2", "humidity_discomfort": "0.05", "use_diurnal_profile": true}}
time,local_time,total_demand,heating_demand,cooling_demand
2023-01-01 00:00,2023-01-01 01:00,2.833,2.833,0
2023-01-01 01:00,2023-01-01 02:00,2.917,2.917,0
2023-01-01 02:00,2023-01-01 03:00,2.964,2.964,0
2023-01-01 03:00,2023-01-01 04:00,2.985,2.985,0
2023-01-01 04:00,2023-01-01 05:00,3.020,3.020,0
2023-01-01 05:00,2023-01-01 06:00,3.114,3.114,0
2023-01-01 06:00,2023-01-01 07:00,3.275,3.275,0
2023-01-01 07:00,2023-01-01 08:00,3.387,3.387,0
2023-01-01 08:00,2023-01-01 09:00,3.427,3.427,0
2023-01-01 09:00,2023-01-01 10:00,3.384,3.384,0
2023-01-01 10:00,2023-01-01 11:00,3.284,3.284,0
2023-01-01 11:00,2023-01-01 12:00,3.185,3.185,0
2023-01-01 12:00,2023-01-01 13:00,3.083,3.083,0
2023-01-01 13:00,2023-01-01 14:00,2.970,2.970,0
2023-01-01 14:00,2023-01-01 15:00,2.892,2.892,0
2023-01-01 15:00,2023-01-01 16:00,2.897,2.897,0
2023-01-01 16:00,2023-01-01 17:00,3.050,3.050,0
2023-01-01 17:00,2023-01-01 18:00,3.321,3.321,0
2023-01-01 18:00,2023-01-01 19:00,3.381,3.381,0
2023-01-01 19:00,2023-01-01 20:00,3.216,3.216,0
2023-01-01 20:00,2023-01-01 21:00,3.103,3.103,0
2023-01-01 21:00,2023-01-01 22:00,3.158,3.158,0
2023-01-01 22:00,2023-01-01 23:00,3.221,3.221,0
2023-01-01 23:00,2023-01-02 00:00,3.218,3.218,0
2023-01-02 00:00,2023-01-02 01:00,3.305,3.305,0
2023-01-02 01:00,2023-01-02 02:00,3.360,3.360,0
2023-01-02 02:00,2023-01-02 03:00,3.374,3.374,0
2023-01-02 03:00,2023-01-02 04:00,3.360,3.360,0
2023-01-02 04:00,2023-01-02 05:00,3.363,3.363,0
2023-01-02 05:00,2023-01-02 06:00,3.433,3.433,0
2023-01-02 06:00,2023-01-02 07:00,3.577,3.577,0
2023-01-02 07:00,2023-01-02 08:00,3.666,3.666,0
2023-01-02 08:00,2023-01-02 09:00,3.679,3.679,0
2023-01-02 09:00,2023-01-02 10:00,3.605,3.605,0
2023-01-02 10:00,2023-01-02 11:00,3.473,3.473,0
2023-01-02 11:00,2023-01-02 12:00,3.345,3.345,0
2023-01-02 12:00,2023-01-02 13:00,3.218,3.218,0
2023-01-02 13:00,2023-01-02 14:00,3.082,3.082,0
2023-01-02 14:00,2023-01-02 15:00,2.985,2.985,0
2023-01-02 15:00,2023-01-02 16:00,2.975,2.975,0
2023-01-02 16:00,2023-01-02 17:00,3.118,3.118,0
2023-01-02 17:00,2023-01-02 18:00,3.381,3.381,0
2023-01-02 18:00,2023-01-02 19:00,3.430,3.430,0
2023-01-02 19:00,2023-01-02 20:00,3.253,3.253,0
2023-01-02 20:00,2023-01-02 21:00,3.129,3.129,0
2023-01-02 21:00,2023-01-02 22:00,3.177,3.177,0
2023-01-02 22:00,2023-01-02 23:00,3.235,3.235,0
2023-01-02 23:00,2023-01-03 00:00,3.228,3.228,0
2023-01-03 00:00,2023-01-03 01:00,3.311,3.311,0
2023-01-03 01:00,2023-01-03 02:00,3.364,3.364,0
2023-01-03 02:00,2023-01-03 03:00,3.378,3.378,0
2023-01-03 03:00,2023-01-03 04:00,3.364,3.364,0
2023-01-03 04:00,2023-01-03 05:00,3.370,3.370,0
2023-01-03 05:00,2023-01-03 06:00,3.444,3.444,0
2023-01-03 06:00,2023-01-03 07:00,3.593,3.593,0
2023-01-03 07:00,2023-01-03 08:00,3.690,3.690,0
2023-01-03 08:00,2023-01-03 09:00,3.712,3.712,0
2023-01-03 09:00,2023-01-03 10:00,3.647,3.647,0
2023-01-03 10:00,2023-01-03 11:00,3.525,3.525,0
2023-01-03 11:00,2023-01-03 12:00,3.407,3.407,0
2023-01-03 12:00,2023-01-03 13:00,3.290,3.290,0
2023-01-03 13:00,2023-01-03 14:00,3.165,3.165,0
2023-01-03 14:00,2023-01-03 15:00,3.079,3.079,0
2023-01-03 15:00,2023-01-03 16:00,3.085,3.085,0
2023-01-03 16:00,2023-01-03 17:00,3.250,3.250,0
2023-01-03 17:00,2023-01-03 18:00,3.543,3.543,0
2023-01-03 18:00,2023-01-03 19:00,3.614,3.614,0
2023-01-03 19:00,2023-01-03 20:00,3.447,3.447,0
2023-01-03 20:00,2023-01-03 21:00,3.335,3.335,0
2023-01-03 21:00,2023-01-03 22:00,3.405,3.405,0
2023-01-03 22:00,2023-01-03 23:00,3.486,3.486,0
2023-01-03 23:00,2023-01-04 00:00,3.496,3.496,0
2023-01-04 00:00,2023-01-04 01:00,3.605,3.605,0
2023-01-04 01:00,2023-01-04 02:00,3.681,3.681,0
2023-01-04 02:00,2023-01-04 03:00,3.713,3.713,0
2023-01-04 03:00,2023-01-04 04:00,3.714,3.714,0
2023-01-04 04:00,2023-01-04 05:00,3.735,3.735,0
2023-01-04 05:00,2023-01-04 06:00,3.830,3.830,0
2023-01-04 06:00,2023-01-04 07:00,4.009,4.009,0
2023-01-04 07:00,2023-01-04 08:00,4.128,4.128,0
2023-01-04 08:00,2023-01-04 09:00,4.159,4.159,0
2023-01-04 09:00,2023-01-04 10:00,4.092,4.092,0
2023-01-04 10:00,2023-01-04 11:00,3.958,3.958,0
2023-01-04 11:00,2023-01-04 12:00,3.826,3.826,0
2023-01-04 12:00,2023-01-04 13:00,3.692,3.692,0
2023-01-04 13:00,2023-01-04 14:00,3.547,3.547,0
2023-01-04 14:00,2023-01-04 15:00,3.444,3.444,0
2023-01-04 15:00,2023-01-04 16:00,3.440,3.440,0
2023-01-04 16:00,2023-01-04 17:00,3.612,3.612,0
2023-01-04 17:00,2023-01-04 18:00,3.923,3.923,0
2023-01-04 18:00,2023-01-04 19:00,3.983,3.983,0
2023-01-04 19:00,2023-01-04 20:00,3.780,3.780,0
2023-01-04 20:00,2023-01-04 21:00,3.638,3.638,0
2023-01-04 21:00,2023-01-04 22:00,3.694,3.694,0
2023-01-04 22:00,2023-01-04 23:00,3.759,3.759,0
2023-01-04 23:00,2023-01-05 00:00,3.747,3.747,0
2023-01-05 00:00,2023-01-05 01:00,3.839,3.839,0
2023-01-05 01:00,2023-01-05 02:00,3.894,3.894,0
2023-01-05 02:00,2023-01-05 03:00,3.902,3.902,0
