# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 46.231, 7.359 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Zurich, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Zurich", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "46.2311749", "lon": "7.3588795", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 01:00,0,0,0,-3.581
2019-01-01 01:00,2019-01-01 02:00,0,0,0,-3.166
2019-01-01 02:00,2019-01-01 03:00,0,0,0,-2.850
2019-01-01 03:00,2019-01-01 04:00,0,0,0,-2.609
2019-01-01 04:00,2019-01-01 05:00,0,0,0,-2.357
2019-01-01 05:00,2019-01-01 06:00,0,0,0,-2.123
2019-01-01 06:00,2019-01-01 07:00,0,0,0,-1.985
2019-01-01 07:00,2019-01-01 08:00,0.043,0.044,0.014,-2.036
2019-01-01 08:00,2019-01-01 09:00,0.297,0.265,0.052,-2.159
2019-01-01 09:00,2019-01-01 10:00,0.523,0.507,0.058,-1.405
2019-01-01 10:00,2019-01-01 11:00,0.648,0.660,0.059,-0.295
2019-01-01 11:00,2019-01-01 12:00,0.678,0.701,0.060,0.848
2019-01-01 12:00,2019-01-01 13:00,0.636,0.649,0.059,1.188
2019-01-01 13:00,2019-01-01 14:00,0.589,0.604,0.045,0.670
2019-01-01 14:00,2019-01-01 15:00,0.404,0.397,0.037,-0.726
2019-01-01 15:00,2019-01-01 16:00,0.106,0.110,0.013,-2.943
