# Renewables.ninja Weather (Point API) - 46.231, 7.359 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, t2m in ºC, prectotland in mm/h, swgdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "t2m": "\u00baC", "prectotland": "mm/h", "swgdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"lat": "46.2312", "lon": "7.3589", "date_from": "2015-01-01", "date_to": "2015-12-31", "dataset": "merra2", "header": "true", "var_t2m": "true", "var_prectotland": "true", "var_swgdn": "true", "var_cldtot": "true"}}
time,t2m,prectotland,swgdn,cldtot
2015-01-01 00:00,-8.499,0.001,0,0.001
2015-01-01 01:00,-7.980,0.001,0,0.005
2015-01-01 02:00,-7.410,0.001,0,0.006
2015-01-01 03:00,-7.119,0,0,0.004
2015-01-01 04:00,-6.988,0,0,0.001
2015-01-01 05:00,-6.892,0,0,0.001
2015-01-01 06:00,-6.885,0,0,0.001
2015-01-01 07:00,-6.861,0,26.996,0
2015-01-01 08:00,-6.220,0,150.645,0
2015-01-01 09:00,-4.443,0,269.095,0
2015-01-01 10:00,-2.162,0,347.315,0
2015-01-01 11:00,-0.882,0,374.822,0
2015-01-01 12:00,-0.487,0,347.952,0
2015-01-01 13:00,-0.388,0,271.324,0.004
2015-01-01 14:00,-0.815,0,152.702,0.027
2015-01-01 15:00,-2.077,0.001,28.398,0.022
2015-01-01 16:00,-3.845,0.001,0,0.001
2015-01-01 17:00,-4.405,0,0,0.003
2015-01-01 18:00,-4.153,0,0,0.036
2015-01-01 19:00,-3.975,0,0,0.025
2015-01-01 20:00,-3.588,0,0,0.233
2015-01-01 21:00,-3.165,0,0,0.578
2015-01-01 22:00,-2.980,0,0,0.579
2015-01-01 23:00,-3.312,0,0,0.465
2015-01-02 00:00,-3.810,0,0,0.211
2015-01-02 01:00,-4.211,0,0,0.388
2015-01-02 02:00,-4.592,0,0,0.465
2015-01-02 03:00,-4.608,0,0,0.706
2015-01-02 04:00,-4.962,0,0,0.948
2015-01-02 05:00,-5.001,0,0,0.977
2015-01-02 06:00,-5.304,0,0,0.967
2015-01-02 07:00,-5.676,0,25.505,0.947
2015-01-02 08:00,-5.166,0,148.759,0.856
2015-01-02 09:00,-3.343,0,262.830,0.876
2015-01-02 10:00,-1.277,0,331.510,0.921
2015-01-02 11:00,-0.088,0.003,341.391,0.945
2015-01-02 12:00,0.181,0.016,284.624,0.949
2015-01-02 13:00,0.043,0.080,179.484,0.937
2015-01-02 14:00,-0.588,0.142,83.253,0.913
2015-01-02 15:00,-1.438,0.168,14.135,0.962
2015-01-02 16:00,-2.195,0.186,0,0.971
2015-01-02 17:00,-2.495,0.119,0,0.959
2015-01-02 18:00,-2.301,0.186,0,0.944
2015-01-02 19:00,-1.771,0.320,0,0.850
2015-01-02 20:00,-1.511,0.201,0,0.941
2015-01-02 21:00,-1.805,0.052,0,0.945
2015-01-02 22:00,-2.219,0.010,0,0.966
2015-01-02 23:00,-2.871,0.004,0,0.955
2015-01-03 00:00,-3.648,0.003,0,0.951
2015-01-03 01:00,-4.355,0.004,0,0.949
2015-01-03 02:00,-4.878,0.004,0,0.952
2015-01-03 03:00,-5.424,0.004,0,0.950
