Hour,Nuclear (p.u.),Wind (p.u.),Solar (p.u.),Gas (p.u.),Total Cost ($)
00,2.00,0.50,0.00,0.50,145.00
01,2.00,0.40,0.00,0.60,150.00
02,2.00,0.30,0.00,0.70,155.00
03,2.00,0.40,0.00,0.10,115.00
04,2.00,0.50,0.00,0.00,110.00
05,2.00,1.00,0.00,0.00,120.00
06,2.00,1.20,0.30,0.50,168.00
07,2.00,1.50,0.50,1.00,215.00
08,2.00,1.30,0.80,1.40,248.00
09,2.00,1.00,1.00,2.00,290.00
10,2.00,0.80,1.20,2.50,327.00
11,2.00,0.60,1.50,2.90,360.00
12,2.00,0.70,1.70,3.10,382.00
13,2.00,1.00,1.60,2.40,336.00
14,2.00,1.20,1.50,1.80,295.00
15,2.00,1.50,1.00,1.50,265.00
16,2.00,1.30,0.80,1.90,283.00
17,2.00,1.00,0.50,3.00,345.00
18,2.00,0.80,0.20,3.00,332.00
19,2.00,0.60,0.00,2.40,280.00
20,2.00,0.40,0.00,1.60,220.00
21,2.00,0.30,0.00,1.20,190.00
22,2.00,0.20,0.00,0.80,160.00
23,2.00,0.10,0.00,0.90,165.00
