scenario_id,base_scenario,variant,load_factor,installed_capacity,initial_investment,annual_cost,annual_costs,npv_10y,npv_20y,npv_30y,annuity_10y,annuity_20y,annuity_30y,gen_nuclear,gen_cost_nuclear,gen_solar,gen_cost_solar,gen_battery1,gen_cost_battery1,gen_wind,gen_cost_wind,gen_gas,gen_cost_gas,gen_battery2,gen_cost_battery2,scenario_name
scenario_1_low,scenario_1,low,0.8,"{'nuclear': 1, 'solar': 1}",900000,1104738.4971999999,1122738.4971999999,-8433666.705937186,-11923212.065527685,-13661228.339893559,1256865.0370273665,1214405.4851408345,1213491.8503502111,220947.69944000008,1104738.4971999999,85223.10055999999,0.0,,,,,,,,,scenario_1
scenario_1_nominal,scenario_1,nominal,1.0,"{'nuclear': 1, 'solar': 1}",900000,1380923.1215,1398923.1215,-10286888.016126249,-14634833.41857609,-16770455.002966022,1533049.6613273665,1490590.1094408347,1489676.4746502112,276184.6243000001,1380923.1215,106528.87569999998,0.0,,,,,,,,,scenario_1
scenario_1_high,scenario_1,high,1.2,"{'nuclear': 1, 'solar': 1}",900000,1657107.7458,1675107.7458,-12140109.326315308,-17346454.771624487,-19879681.66603848,1809234.285627366,1766774.7337408343,1765861.0989502107,331421.5491600001,1657107.7458,127834.65083999996,0.0,,,,,,,,,scenario_1
scenario_2_low,scenario_2,low,0.8,"{'nuclear': 1, 'solar': 1, 'battery1': 2}",1400000,1040087.0405433323,1073087.0405433322,-8892246.587826002,-12527176.937043311,-14266722.142603934,1325206.9623520218,1275920.6413562912,1267276.3107768733,208014.7952688001,1040073.9763439998,98418.5950488,0.0,-131.29517980800048,0.0,,,,,,,scenario_2
scenario_2_nominal,scenario_2,nominal,1.0,"{'nuclear': 1, 'solar': 1, 'battery1': 2}",1400000,1300108.8006791654,1333108.8006791654,-10637013.763833467,-15080108.907201333,-17193990.7827118,1585228.7224878543,1535942.4014921235,1527298.0709127057,260018.4940860001,1300092.4704299998,123023.24381099998,0.0,-164.11897476000058,0.0,,,,,,,scenario_2
scenario_2_high,scenario_2,high,1.2,"{'nuclear': 1, 'solar': 1, 'battery1': 2}",1400000,1560130.5608149983,1593130.5608149983,-12381780.939840935,-17633040.877359368,-20121259.42281967,1845250.4826236875,1795964.161627957,1787319.8310485387,312022.1929032001,1560110.9645159997,147627.89257319996,0.0,-196.94276971200068,0.0,,,,,,,scenario_2
scenario_3_low,scenario_3,low,0.8,"{'nuclear': 1, 'solar': 1, 'wind': 1, 'battery1': 1}",2550000,784301.1269352376,865801.1269352376,-8505468.63584621,-11646655.676134234,-13051280.155276533,1267565.6419291715,1186237.606016956,1159311.7186114546,156855.84897112,784279.2448556001,85733.06321839997,0.0,-219.91487876799985,0.0,63801.80270048001,0.0,,,,,scenario_3
scenario_3_nominal,scenario_3,nominal,1.0,"{'nuclear': 1, 'solar': 1, 'wind': 1, 'battery1': 1}",2550000,980376.4086690468,1061876.4086690468,-9821149.736600446,-13571751.695153922,-15258653.195978435,1463640.9236629806,1382312.8877507653,1355387.0003452634,196069.8112139,980349.0560695,107166.32902299995,0.0,-274.8935984599998,0.0,79752.2533756,0.0,,,,,scenario_3
scenario_3_high,scenario_3,high,1.2,"{'nuclear': 1, 'solar': 1, 'wind': 1, 'battery1': 1}",2550000,1176451.690402856,1257951.690402856,-11136830.837354684,-15496847.71417361,-17466026.236680344,1659716.2053967898,1578388.1694845743,1551462.282079073,235283.77345667998,1176418.8672834,128599.59482759994,0.0,-329.87231815199976,0.0,95702.70405072,0.0,,,,,scenario_3
scenario_4_low,scenario_4,low,0.8,"{'nuclear': 1, 'wind': 1, 'gas': 1, 'battery1': 1, 'battery2': 1}",2100000,1186176.5261591128,1267676.5261591128,-10977197.312079659,-15489060.64850135,-17416265.863814734,1635926.1027461411,1577595.0396456039,1547042.1958730272,237235.09464616003,1186175.4732308001,,,-6.575441080000028,0.0,68946.28728,0.0,0.0,0.0,-4.006486328000001,0.0,scenario_4
scenario_4_nominal,scenario_4,nominal,1.0,"{'nuclear': 1, 'wind': 1, 'gas': 1, 'battery1': 1, 'battery2': 1}",2100000,1482720.657698891,1564220.657698891,-12967032.573089967,-18400574.644772924,-20754695.448365457,1932470.2342859188,1874139.171185382,1843586.3274128055,296543.86830770003,1482719.3415385,,,-8.219301350000034,0.0,86182.8591,0.0,0.0,0.0,-5.008107910000001,0.0,scenario_4
scenario_4_high,scenario_4,high,1.2,"{'nuclear': 1, 'wind': 1, 'gas': 1, 'battery1': 1, 'battery2': 1}",2100000,1779264.789238669,1860764.789238669,-14956867.834100274,-21312088.641044494,-24093125.03291617,2229014.3658256964,2170683.3027251596,2140130.458952583,355852.64196924004,1779263.2098462,,,-9.86316162000004,0.0,103419.43092,0.0,0.0,0.0,-6.009729492000002,0.0,scenario_4
scenario_5_low,scenario_5,low,0.8,"{'wind': 1, 'solar': 1, 'nuclear': 1, 'battery1': 1, 'battery2': 1}",3000000,724229.8642257632,823729.8642257632,-8898279.073718544,-12030326.88059467,-13440092.115291864,1326105.9806401597,1225315.3656530902,1193848.8870898911,144836.73997832,724183.6998916001,95536.58184303997,0.0,-183.29759312800033,0.0,66261.42963440002,0.0,,,-280.6538425600008,0.0,scenario_5
scenario_5_nominal,scenario_5,nominal,1.0,"{'wind': 1, 'solar': 1, 'nuclear': 1, 'battery1': 1, 'battery2': 1}",3000000,905287.330282204,1004787.330282204,-10113189.408843337,-13807975.771556048,-15478397.840810925,1507163.4466966,1406372.8317095304,1374906.3531463314,181045.9249729,905229.6248645,119420.72730379995,0.0,-229.1219914100004,0.0,82826.78704300002,0.0,,,-350.817303200001,0.0,scenario_5
scenario_5_high,scenario_5,high,1.2,"{'wind': 1, 'solar': 1, 'nuclear': 1, 'battery1': 1, 'battery2': 1}",3000000,1086344.7963386448,1185844.7963386448,-11328099.743968135,-15585624.662517432,-17516703.566329997,1688220.9127530411,1587430.2977659714,1555963.8192027723,217255.10996747998,1086275.5498374,143304.87276455993,0.0,-274.9463896920005,0.0,99392.14445160002,0.0,,,-420.9807638400012,0.0,scenario_5
scenario_6_low,scenario_6,low,0.8,"{'nuclear': 1, 'wind': 1, 'solar': 1}",2300000,838434.6568,912434.6568,-8422510.8183432,-11558785.450493481,-12994040.758808386,1255202.4808032727,1177287.8294456569,1154227.2899345527,167686.93136000005,838434.6568,85223.10055999999,0.0,,,53260.76808,0.0,,,,,scenario_6
scenario_6_nominal,scenario_6,nominal,1.0,"{'nuclear': 1, 'wind': 1, 'solar': 1}",2300000,1048043.321,1122043.321,-9829002.017048582,-13616754.213487616,-15353769.687214345,1464811.1450032722,1386896.4936456564,1363835.9541345523,209608.66420000003,1048043.321,106528.87569999998,0.0,,,66575.9601,0.0,,,,,scenario_6
scenario_6_high,scenario_6,high,1.2,"{'nuclear': 1, 'wind': 1, 'solar': 1}",2300000,1257651.9852,1331651.9852,-11235493.215753965,-15674722.976481754,-17713498.6156203,1674419.809203272,1596505.1578456562,1573444.6183345518,251530.39704,1257651.9852,127834.65083999996,0.0,,,79891.15212,0.0,,,,,scenario_6
scenario_7_low,scenario_7,low,0.8,"{'solar': 1, 'nuclear': 1, 'wind': 1, 'battery2': 1}",2750000,754212.5780330356,846212.5780330356,-8653267.314618912,-11705340.38289128,-13110968.064088762,1289592.0034567704,1192214.7730243,1164613.6423554986,150835.70668712002,754178.5334356,86972.063464,0.0,,,68705.17795544,0.0,,,-342.1481296479998,0.0,scenario_7
scenario_7_nominal,scenario_7,nominal,1.0,"{'solar': 1, 'nuclear': 1, 'wind': 1, 'battery2': 1}",2750000,942765.7225412944,1034765.7225412944,-9918474.262295697,-13556582.94981145,-15233658.51362814,1478145.147965029,1380767.9175325586,1353166.7868637566,188544.63335890003,942723.1667945,108715.07933,0.0,,,85881.4724443,0.0,,,-427.6851620599997,0.0,scenario_7
scenario_7_high,scenario_7,high,1.2,"{'solar': 1, 'nuclear': 1, 'wind': 1, 'battery2': 1}",2750000,1131318.8670495532,1223318.8670495532,-11183681.209972482,-15407825.516731625,-17356348.963167533,1666698.2924732878,1569321.0620408177,1541719.9313720162,226253.56003068003,1131267.8001533998,130458.09519599998,0.0,,,103057.76693316,0.0,,,-513.2221944719996,0.0,scenario_7
scenario_8_low,scenario_8,low,0.8,"{'gas': 1, 'nuclear': 1, 'solar': 1, 'battery2': 2}",1800000,1020538.6313891956,1074538.6313891956,-9460465.753346948,-13043444.804697085,-14843486.934568482,1409888.3740574871,1328503.6640212461,1318508.846915228,204104.3234037601,1020521.6170187999,102408.4653488,0.0,,,,,0.0,0.0,-170.9943956239997,0.0,scenario_8
scenario_8_nominal,scenario_8,nominal,1.0,"{'gas': 1, 'nuclear': 1, 'solar': 1, 'battery2': 2}",1800000,1275673.2892364943,1329673.2892364943,-11172440.075193398,-15548394.484191008,-17715737.635936335,1665023.031904786,1583638.3218685454,1573643.504762527,255130.40425470012,1275652.0212734998,128010.581686,0.0,,,,,0.0,0.0,-213.74299452999963,0.0,scenario_8
scenario_8_high,scenario_8,high,1.2,"{'gas': 1, 'nuclear': 1, 'solar': 1, 'battery2': 2}",1800000,1530807.947083793,1584807.947083793,-12884414.397039847,-18053344.163684927,-20587988.337304186,1920157.6897520847,1838772.9797158442,1828778.1626098258,306156.48510564014,1530782.4255281996,153612.6980232,0.0,,,,,0.0,0.0,-256.49159343599956,0.0,scenario_8
scenario_9_low,scenario_9,low,0.8,"{'wind': 1, 'nuclear': 1, 'solar': 2}",3200000,838434.6568,930434.6568,-9443292.283524144,-12635512.103827566,-14218362.446412105,1407329.0206306402,1286954.8173864922,1262980.6430847647,167686.93136000005,838434.6568,85223.10055999999,0.0,,,53260.76808,0.0,,,,,scenario_9
scenario_9_nominal,scenario_9,nominal,1.0,"{'wind': 1, 'nuclear': 1, 'solar': 2}",3200000,1048043.321,1140043.321,-10849783.482229527,-14693480.8668217,-16578091.374818059,1616937.68483064,1496563.4815864917,1472589.307284764,209608.66420000003,1048043.321,106528.87569999998,0.0,,,66575.9601,0.0,,,,,scenario_9
scenario_9_high,scenario_9,high,1.2,"{'wind': 1, 'nuclear': 1, 'solar': 2}",3200000,1257651.9852,1349651.9852,-12256274.680934912,-16751449.629815841,-18937820.303224023,1826546.34903064,1706172.1457864917,1682197.9714847642,251530.39704,1257651.9852,127834.65083999996,0.0,,,79891.15212,0.0,,,,,scenario_9
scenario_10_low,scenario_10,low,0.8,"{'wind': 1, 'nuclear': 1, 'solar': 2, 'battery2': 2}",4100000,709697.3371548575,837697.3371548575,-10171241.3904039,-13318469.556098966,-14899228.035165505,1515814.9038264228,1356515.5424325657,1323460.1858154435,141934.26460928,709671.3230464002,100109.29493759997,0.0,,,64650.12389076801,0.0,,,-261.4417287039993,0.0,scenario_10
scenario_10_nominal,scenario_10,nominal,1.0,"{'wind': 1, 'nuclear': 1, 'solar': 2, 'battery2': 2}",4100000,887121.6714435718,1015121.6714435718,-11361773.11563417,-15060447.823814122,-16896632.750386477,1693239.2381151367,1533939.8767212797,1500884.5201041577,177417.83076160002,887089.1538080001,125136.61867199995,0.0,,,80812.65486346,0.0,,,-326.80216087999906,0.0,scenario_10
scenario_10_high,scenario_10,high,1.2,"{'wind': 1, 'nuclear': 1, 'solar': 2, 'battery2': 2}",4100000,1064546.005732286,1192546.005732286,-12552304.84086444,-16802426.091529276,-18894037.465607435,1870663.572403851,1711364.211009994,1678308.854392871,212901.39691392003,1064506.9845696,150163.94240639993,0.0,,,96975.185836152,0.0,,,-392.16259305599885,0.0,scenario_10
