time,bus,pd
2023-10-22 00:00:00,5,23.599999999999998
2023-10-22 01:00:00,5,17.5
2023-10-22 02:00:00,5,16.5
2023-10-22 03:00:00,5,16.3
2023-10-22 04:00:00,5,17.0
2023-10-22 05:00:00,5,22.1
2023-10-22 06:00:00,5,35.199999999999996
2023-10-22 07:00:00,5,48.9
2023-10-22 08:00:00,5,56.8
2023-10-22 09:00:00,5,61.6
2023-10-22 10:00:00,5,64.9
2023-10-22 11:00:00,5,68.5
2023-10-22 12:00:00,5,67.0
2023-10-22 13:00:00,5,60.9
2023-10-22 14:00:00,5,56.10000000000001
2023-10-22 15:00:00,5,55.300000000000004
2023-10-22 16:00:00,5,60.199999999999996
2023-10-22 17:00:00,5,69.19999999999999
2023-10-22 18:00:00,5,74.8
2023-10-22 19:00:00,5,68.10000000000001
2023-10-22 20:00:00,5,55.60000000000001
2023-10-22 21:00:00,5,52.300000000000004
2023-10-22 22:00:00,5,44.0
2023-10-22 23:00:00,5,31.900000000000002
2023-10-23 00:00:00,5,18.7
2023-10-23 01:00:00,5,18.5
2023-10-23 02:00:00,5,16.8
2023-10-23 03:00:00,5,16.400000000000002
2023-10-23 04:00:00,5,16.400000000000002
2023-10-23 05:00:00,5,17.299999999999997
2023-10-23 06:00:00,5,24.8
2023-10-23 07:00:00,5,42.199999999999996
2023-10-23 08:00:00,5,60.5
2023-10-23 09:00:00,5,70.1
2023-10-23 10:00:00,5,77.8
2023-10-23 11:00:00,5,78.7
2023-10-23 12:00:00,5,63.9
2023-10-23 13:00:00,5,51.6
2023-10-23 14:00:00,5,45.9
2023-10-23 15:00:00,5,40.699999999999996
2023-10-23 16:00:00,5,42.3
2023-10-23 17:00:00,5,52.1
2023-10-23 18:00:00,5,61.0
2023-10-23 19:00:00,5,58.599999999999994
2023-10-23 20:00:00,5,54.50000000000001
2023-10-23 21:00:00,5,48.4
2023-10-23 22:00:00,5,35.6
2023-10-23 23:00:00,5,25.3
2023-10-24 00:00:00,5,18.8
2023-10-24 01:00:00,5,16.8
2023-10-24 02:00:00,5,16.400000000000002
2023-10-24 03:00:00,5,16.8
2023-10-24 04:00:00,5,20.0
2023-10-24 05:00:00,5,35.4
2023-10-24 06:00:00,5,49.4
2023-10-24 07:00:00,5,52.300000000000004
2023-10-24 08:00:00,5,51.7
2023-10-24 09:00:00,5,50.2
2023-10-24 10:00:00,5,50.7
2023-10-24 11:00:00,5,56.89999999999999
2023-10-24 12:00:00,5,55.400000000000006
2023-10-24 13:00:00,5,48.199999999999996
2023-10-24 14:00:00,5,43.1
2023-10-24 15:00:00,5,40.400000000000006
2023-10-24 16:00:00,5,44.3
2023-10-24 17:00:00,5,55.1
2023-10-24 18:00:00,5,65.4
2023-10-24 19:00:00,5,63.9
2023-10-24 20:00:00,5,59.3
