time,bus,pd
2023-01-08 00:00:00,5,37.1
2023-01-08 01:00:00,5,25.1
2023-01-08 02:00:00,5,20.0
2023-01-08 03:00:00,5,18.8
2023-01-08 04:00:00,5,18.3
2023-01-08 05:00:00,5,19.0
2023-01-08 06:00:00,5,25.2
2023-01-08 07:00:00,5,38.9
2023-01-08 08:00:00,5,56.8
2023-01-08 09:00:00,5,67.2
2023-01-08 10:00:00,5,70.1
2023-01-08 11:00:00,5,73.5
2023-01-08 12:00:00,5,79.0
2023-01-08 13:00:00,5,78.60000000000001
2023-01-08 14:00:00,5,72.8
2023-01-08 15:00:00,5,68.2
2023-01-08 16:00:00,5,68.7
2023-01-08 17:00:00,5,85.6
2023-01-08 18:00:00,5,99.3
2023-01-08 19:00:00,5,99.7
2023-01-08 20:00:00,5,81.6
2023-01-08 21:00:00,5,63.6
2023-01-08 22:00:00,5,58.099999999999994
2023-01-08 23:00:00,5,49.3
2023-01-09 00:00:00,5,27.700000000000003
2023-01-09 01:00:00,5,26.700000000000003
2023-01-09 02:00:00,5,21.4
2023-01-09 03:00:00,5,19.5
2023-01-09 04:00:00,5,18.4
2023-01-09 05:00:00,5,18.3
2023-01-09 06:00:00,5,19.400000000000002
2023-01-09 07:00:00,5,23.7
2023-01-09 08:00:00,5,42.0
2023-01-09 09:00:00,5,65.7
2023-01-09 10:00:00,5,82.69999999999999
2023-01-09 11:00:00,5,96.2
2023-01-09 12:00:00,5,98.1
2023-01-09 13:00:00,5,82.1
2023-01-09 14:00:00,5,64.60000000000001
2023-01-09 15:00:00,5,55.300000000000004
2023-01-09 16:00:00,5,50.6
2023-01-09 17:00:00,5,59.699999999999996
2023-01-09 18:00:00,5,74.2
2023-01-09 19:00:00,5,83.7
2023-01-09 20:00:00,5,76.0
2023-01-09 21:00:00,5,64.3
2023-01-09 22:00:00,5,54.50000000000001
2023-01-09 23:00:00,5,40.2
2023-01-10 00:00:00,5,27.700000000000003
2023-01-10 01:00:00,5,20.5
2023-01-10 02:00:00,5,18.8
2023-01-10 03:00:00,5,18.3
2023-01-10 04:00:00,5,18.6
2023-01-10 05:00:00,5,22.3
2023-01-10 06:00:00,5,42.8
2023-01-10 07:00:00,5,61.5
2023-01-10 08:00:00,5,63.4
2023-01-10 09:00:00,5,58.5
2023-01-10 10:00:00,5,55.2
2023-01-10 11:00:00,5,56.2
2023-01-10 12:00:00,5,62.1
2023-01-10 13:00:00,5,61.5
2023-01-10 14:00:00,5,54.800000000000004
2023-01-10 15:00:00,5,49.8
2023-01-10 16:00:00,5,50.0
2023-01-10 17:00:00,5,61.1
2023-01-10 18:00:00,5,78.9
2023-01-10 19:00:00,5,88.8
2023-01-10 20:00:00,5,79.9
2023-01-10 21:00:00,5,67.0
2023-01-10 22:00:00,5,55.400000000000006
2023-01-10 23:00:00,5,41.0
2023-01-11 00:00:00,5,27.700000000000003
2023-01-11 01:00:00,5,20.5
2023-01-11 02:00:00,5,18.8
2023-01-11 03:00:00,5,18.3
2023-01-11 04:00:00,5,18.6
2023-01-11 05:00:00,5,22.3
2023-01-11 06:00:00,5,42.8
2023-01-11 07:00:00,5,61.5
2023-01-11 08:00:00,5,63.4
2023-01-11 09:00:00,5,58.599999999999994
2023-01-11 10:00:00,5,55.2
2023-01-11 11:00:00,5,56.2
2023-01-11 12:00:00,5,62.1
2023-01-11 13:00:00,5,61.5
2023-01-11 14:00:00,5,54.800000000000004
2023-01-11 15:00:00,5,49.8
2023-01-11 16:00:00,5,50.0
2023-01-11 17:00:00,5,61.1
2023-01-11 18:00:00,5,79.0
2023-01-11 19:00:00,5,88.9
2023-01-11 20:00:00,5,80.0
2023-01-11 21:00:00,5,67.0
2023-01-11 22:00:00,5,55.50000000000001
2023-01-11 23:00:00,5,41.099999999999994
2023-01-12 00:00:00,5,27.700000000000003
2023-01-12 01:00:00,5,20.5
2023-01-12 02:00:00,5,18.8
2023-01-12 03:00:00,5,18.3
2023-01-12 04:00:00,5,18.6
2023-01-12 05:00:00,5,22.3
2023-01-12 06:00:00,5,42.8
2023-01-12 07:00:00,5,61.5
2023-01-12 08:00:00,5,63.5
2023-01-12 09:00:00,5,58.599999999999994
2023-01-12 10:00:00,5,55.300000000000004
2023-01-12 11:00:00,5,56.3
2023-01-12 12:00:00,5,62.1
2023-01-12 13:00:00,5,61.6
2023-01-12 14:00:00,5,54.800000000000004
2023-01-12 15:00:00,5,49.8
2023-01-12 16:00:00,5,50.0
2023-01-12 17:00:00,5,61.199999999999996
2023-01-12 18:00:00,5,79.0
2023-01-12 19:00:00,5,88.9
2023-01-12 20:00:00,5,80.0
2023-01-12 21:00:00,5,67.0
2023-01-12 22:00:00,5,55.50000000000001
2023-01-12 23:00:00,5,41.099999999999994
2023-01-13 00:00:00,5,27.700000000000003
2023-01-13 01:00:00,5,20.5
2023-01-13 02:00:00,5,18.8
2023-01-13 03:00:00,5,18.3
2023-01-13 04:00:00,5,18.6
2023-01-13 05:00:00,5,22.3
2023-01-13 06:00:00,5,42.8
2023-01-13 07:00:00,5,61.6
2023-01-13 08:00:00,5,63.5
2023-01-13 09:00:00,5,58.599999999999994
2023-01-13 10:00:00,5,55.300000000000004
2023-01-13 11:00:00,5,56.3
2023-01-13 12:00:00,5,62.2
2023-01-13 13:00:00,5,61.6
2023-01-13 14:00:00,5,54.900000000000006
2023-01-13 15:00:00,5,49.9
2023-01-13 16:00:00,5,50.1
2023-01-13 17:00:00,5,61.199999999999996
2023-01-13 18:00:00,5,79.0
2023-01-13 19:00:00,5,89.0
2023-01-13 20:00:00,5,80.0
2023-01-13 21:00:00,5,67.10000000000001
2023-01-13 22:00:00,5,55.50000000000001
2023-01-13 23:00:00,5,41.099999999999994
2023-01-14 00:00:00,5,31.900000000000002
2023-01-14 01:00:00,5,20.5
2023-01-14 02:00:00,5,18.8
2023-01-14 03:00:00,5,18.3
2023-01-14 04:00:00,5,18.6
2023-01-14 05:00:00,5,22.3
2023-01-14 06:00:00,5,42.9
2023-01-14 07:00:00,5,61.6
2023-01-14 08:00:00,5,63.5
2023-01-14 09:00:00,5,58.599999999999994
2023-01-14 10:00:00,5,55.300000000000004
2023-01-14 11:00:00,5,56.3
2023-01-14 12:00:00,5,62.2
2023-01-14 13:00:00,5,61.6
2023-01-14 14:00:00,5,54.900000000000006
2023-01-14 15:00:00,5,49.9
2023-01-14 16:00:00,5,50.1
2023-01-14 17:00:00,5,61.199999999999996
2023-01-14 18:00:00,5,79.10000000000001
2023-01-14 19:00:00,5,89.0
2023-01-14 20:00:00,5,80.0
2023-01-14 21:00:00,5,67.10000000000001
2023-01-14 22:00:00,5,55.50000000000001
2023-01-14 23:00:00,5,41.099999999999994
2023-01-08 00:00:00,6,37.2
2023-01-08 01:00:00,6,25.2
2023-01-08 02:00:00,6,20.0
2023-01-08 03:00:00,6,18.9
2023-01-08 04:00:00,6,18.3
2023-01-08 05:00:00,6,19.1
2023-01-08 06:00:00,6,25.3
2023-01-08 07:00:00,6,39.0
2023-01-08 08:00:00,6,56.99999999999999
2023-01-08 09:00:00,6,67.4
2023-01-08 10:00:00,6,70.39999999999999
2023-01-08 11:00:00,6,73.8
2023-01-08 12:00:00,6,79.3
2023-01-08 13:00:00,6,78.9
2023-01-08 14:00:00,6,73.0
2023-01-08 15:00:00,6,68.4
2023-01-08 16:00:00,6,68.89999999999999
2023-01-08 17:00:00,6,85.9
2023-01-08 18:00:00,6,99.7
2023-01-08 19:00:00,6,100.0
2023-01-08 20:00:00,6,81.8
2023-01-08 21:00:00,6,63.800000000000004
2023-01-08 22:00:00,6,58.3
2023-01-08 23:00:00,6,49.5
2023-01-09 00:00:00,6,27.800000000000004
2023-01-09 01:00:00,6,26.8
2023-01-09 02:00:00,6,21.5
2023-01-09 03:00:00,6,19.6
2023-01-09 04:00:00,6,18.4
2023-01-09 05:00:00,6,18.4
2023-01-09 06:00:00,6,19.5
2023-01-09 07:00:00,6,23.799999999999997
2023-01-09 08:00:00,6,42.1
