time,bus,pd
2023-08-06 00:00:00,5,20.0
2023-08-06 01:00:00,5,15.7
2023-08-06 02:00:00,5,15.0
2023-08-06 03:00:00,5,15.1
2023-08-06 04:00:00,5,15.5
2023-08-06 05:00:00,5,19.1
2023-08-06 06:00:00,5,27.900000000000002
2023-08-06 07:00:00,5,38.5
2023-08-06 08:00:00,5,46.7
2023-08-06 09:00:00,5,49.4
2023-08-06 10:00:00,5,51.300000000000004
2023-08-06 11:00:00,5,54.6
2023-08-06 12:00:00,5,52.800000000000004
2023-08-06 13:00:00,5,47.099999999999994
2023-08-06 14:00:00,5,44.5
2023-08-06 15:00:00,5,43.4
2023-08-06 16:00:00,5,44.6
2023-08-06 17:00:00,5,49.9
2023-08-06 18:00:00,5,54.1
2023-08-06 19:00:00,5,51.800000000000004
2023-08-06 20:00:00,5,46.1
2023-08-06 21:00:00,5,44.5
2023-08-06 22:00:00,5,37.4
2023-08-06 23:00:00,5,26.900000000000002
2023-08-07 00:00:00,5,16.5
2023-08-07 01:00:00,5,16.3
2023-08-07 02:00:00,5,15.2
2023-08-07 03:00:00,5,15.0
2023-08-07 04:00:00,5,14.6
2023-08-07 05:00:00,5,15.4
2023-08-07 06:00:00,5,20.9
2023-08-07 07:00:00,5,33.7
2023-08-07 08:00:00,5,48.1
2023-08-07 09:00:00,5,56.00000000000001
2023-08-07 10:00:00,5,61.7
2023-08-07 11:00:00,5,62.8
2023-08-07 12:00:00,5,52.6
2023-08-07 13:00:00,5,43.2
2023-08-07 14:00:00,5,37.3
2023-08-07 15:00:00,5,32.5
2023-08-07 16:00:00,5,32.9
2023-08-07 17:00:00,5,38.0
2023-08-07 18:00:00,5,45.6
2023-08-07 19:00:00,5,47.8
2023-08-07 20:00:00,5,45.2
2023-08-07 21:00:00,5,42.1
2023-08-07 22:00:00,5,32.4
2023-08-07 23:00:00,5,22.1
2023-08-08 00:00:00,5,16.5
2023-08-08 01:00:00,5,15.0
2023-08-08 02:00:00,5,14.099999999999998
2023-08-08 03:00:00,5,14.7
2023-08-08 04:00:00,5,17.8
2023-08-08 05:00:00,5,29.4
2023-08-08 06:00:00,5,39.0
2023-08-08 07:00:00,5,42.5
2023-08-08 08:00:00,5,43.3
2023-08-08 09:00:00,5,41.8
2023-08-08 10:00:00,5,42.6
2023-08-08 11:00:00,5,47.4
2023-08-08 12:00:00,5,45.9
2023-08-08 13:00:00,5,39.6
2023-08-08 14:00:00,5,35.699999999999996
2023-08-08 15:00:00,5,34.5
2023-08-08 16:00:00,5,36.8
2023-08-08 17:00:00,5,42.699999999999996
2023-08-08 18:00:00,5,49.6
2023-08-08 19:00:00,5,50.1
2023-08-08 20:00:00,5,47.3
2023-08-08 21:00:00,5,43.4
2023-08-08 22:00:00,5,33.7
2023-08-08 23:00:00,5,22.1
2023-08-09 00:00:00,5,16.5
2023-08-09 01:00:00,5,15.0
2023-08-09 02:00:00,5,14.099999999999998
2023-08-09 03:00:00,5,14.7
2023-08-09 04:00:00,5,17.8
2023-08-09 05:00:00,5,29.5
2023-08-09 06:00:00,5,39.0
2023-08-09 07:00:00,5,42.6
2023-08-09 08:00:00,5,43.3
2023-08-09 09:00:00,5,41.9
2023-08-09 10:00:00,5,42.699999999999996
2023-08-09 11:00:00,5,47.5
2023-08-09 12:00:00,5,45.9
2023-08-09 13:00:00,5,39.6
2023-08-09 14:00:00,5,35.699999999999996
2023-08-09 15:00:00,5,34.5
2023-08-09 16:00:00,5,36.9
2023-08-09 17:00:00,5,42.8
2023-08-09 18:00:00,5,49.7
2023-08-09 19:00:00,5,50.1
2023-08-09 20:00:00,5,47.4
2023-08-09 21:00:00,5,43.5
2023-08-09 22:00:00,5,33.7
2023-08-09 23:00:00,5,22.2
2023-08-10 00:00:00,5,16.5
2023-08-10 01:00:00,5,15.0
2023-08-10 02:00:00,5,14.099999999999998
2023-08-10 03:00:00,5,14.7
2023-08-10 04:00:00,5,17.8
2023-08-10 05:00:00,5,29.5
2023-08-10 06:00:00,5,39.1
2023-08-10 07:00:00,5,42.699999999999996
2023-08-10 08:00:00,5,43.4
2023-08-10 09:00:00,5,41.9
2023-08-10 10:00:00,5,42.8
2023-08-10 11:00:00,5,47.5
2023-08-10 12:00:00,5,46.0
2023-08-10 13:00:00,5,39.7
2023-08-10 14:00:00,5,35.8
2023-08-10 15:00:00,5,34.599999999999994
2023-08-10 16:00:00,5,36.9
2023-08-10 17:00:00,5,42.8
2023-08-10 18:00:00,5,49.7
2023-08-10 19:00:00,5,50.2
2023-08-10 20:00:00,5,47.4
2023-08-10 21:00:00,5,43.5
2023-08-10 22:00:00,5,33.800000000000004
2023-08-10 23:00:00,5,22.2
2023-08-11 00:00:00,5,16.6
2023-08-11 01:00:00,5,15.0
2023-08-11 02:00:00,5,14.099999999999998
2023-08-11 03:00:00,5,14.7
2023-08-11 04:00:00,5,17.9
2023-08-11 05:00:00,5,29.5
2023-08-11 06:00:00,5,39.1
2023-08-11 07:00:00,5,42.699999999999996
2023-08-11 08:00:00,5,43.5
2023-08-11 09:00:00,5,42.0
2023-08-11 10:00:00,5,42.8
2023-08-11 11:00:00,5,47.599999999999994
2023-08-11 12:00:00,5,46.1
2023-08-11 13:00:00,5,39.800000000000004
2023-08-11 14:00:00,5,35.8
2023-08-11 15:00:00,5,34.599999999999994
2023-08-11 16:00:00,5,37.0
2023-08-11 17:00:00,5,42.9
2023-08-11 18:00:00,5,49.8
2023-08-11 19:00:00,5,50.2
2023-08-11 20:00:00,5,47.5
2023-08-11 21:00:00,5,43.6
2023-08-11 22:00:00,5,33.800000000000004
2023-08-11 23:00:00,5,22.2
2023-08-12 00:00:00,5,19.5
2023-08-12 01:00:00,5,15.0
2023-08-12 02:00:00,5,14.2
2023-08-12 03:00:00,5,14.7
2023-08-12 04:00:00,5,17.9
2023-08-12 05:00:00,5,29.599999999999998
2023-08-12 06:00:00,5,39.2
2023-08-12 07:00:00,5,42.8
2023-08-12 08:00:00,5,43.5
2023-08-12 09:00:00,5,42.1
2023-08-12 10:00:00,5,42.9
2023-08-12 11:00:00,5,47.699999999999996
2023-08-12 12:00:00,5,46.1
2023-08-12 13:00:00,5,39.800000000000004
2023-08-12 14:00:00,5,35.9
2023-08-12 15:00:00,5,34.699999999999996
2023-08-12 16:00:00,5,37.0
2023-08-12 17:00:00,5,43.0
2023-08-12 18:00:00,5,49.9
2023-08-12 19:00:00,5,50.3
2023-08-12 20:00:00,5,47.599999999999994
2023-08-12 21:00:00,5,43.7
2023-08-12 22:00:00,5,33.900000000000006
2023-08-12 23:00:00,5,25.1
2023-08-06 00:00:00,6,19.900000000000002
2023-08-06 01:00:00,6,15.6
2023-08-06 02:00:00,6,14.899999999999999
2023-08-06 03:00:00,6,15.0
2023-08-06 04:00:00,6,15.4
2023-08-06 05:00:00,6,19.0
2023-08-06 06:00:00,6,27.700000000000003
2023-08-06 07:00:00,6,38.2
