time;value
2023-01-08 00:00;78.654
2023-01-08 01:00;76.25
2023-01-08 02:00;63.604
2023-01-08 03:00;59.321
2023-01-08 04:00;58.711
2023-01-08 05:00;64.629
2023-01-08 06:00;82.236
2023-01-08 07:00;68.933
2023-01-08 08:00;60.797
2023-01-08 09:00;59.874
2023-01-08 10:00;54.022
2023-01-08 11:00;45.88
2023-01-08 12:00;39.36
2023-01-08 13:00;37.299
2023-01-08 14:00;41.888
2023-01-08 15:00;45.761
2023-01-08 16:00;48.327
2023-01-08 17:00;49.722
2023-01-08 18:00;50.419
2023-01-08 19:00;54.206
2023-01-08 20:00;64.044
2023-01-08 21:00;86.869
2023-01-08 22:00;144.155
2023-01-08 23:00;175.212
2023-01-09 00:00;219.808
2023-01-09 01:00;240.749
2023-01-09 02:00;293.201
2023-01-09 03:00;274.426
2023-01-09 04:00;240.757
2023-01-09 05:00;168.132
2023-01-09 06:00;130.908
2023-01-09 07:00;118.202
2023-01-09 08:00;117.07
2023-01-09 09:00;107.642
2023-01-09 10:00;125.621
2023-01-09 11:00;181.325
2023-01-09 12:00;237.123
2023-01-09 13:00;244.482
2023-01-09 14:00;229.842
2023-01-09 15:00;237.501
2023-01-09 16:00;234.911
2023-01-09 17:00;178.856
2023-01-09 18:00;170.446
2023-01-09 19:00;260.13
2023-01-09 20:00;401.779
2023-01-09 21:00;488.184
2023-01-09 22:00;419.553
2023-01-09 23:00;294.359
2023-01-10 00:00;228.951
2023-01-10 01:00;221.928
2023-01-10 02:00;232.449
2023-01-10 03:00;218.731
2023-01-10 04:00;179.637
2023-01-10 05:00;142.379
2023-01-10 06:00;107.015
2023-01-10 07:00;101.265
2023-01-10 08:00;80.078
2023-01-10 09:00;65.326
2023-01-10 10:00;43.728
2023-01-10 11:00;38.398
2023-01-10 12:00;29.816
2023-01-10 13:00;27.778
2023-01-10 14:00;36.049
2023-01-10 15:00;52.522
2023-01-10 16:00;64.844
2023-01-10 17:00;74.209
2023-01-10 18:00;77.339
2023-01-10 19:00;71.972
2023-01-10 20:00;70.885
2023-01-10 21:00;64.952
2023-01-10 22:00;57.808
2023-01-10 23:00;55.011
2023-01-11 00:00;54.063
2023-01-11 01:00;54.238
2023-01-11 02:00;55.159
2023-01-11 03:00;55.037
2023-01-11 04:00;54.541
2023-01-11 05:00;50.488
2023-01-11 06:00;49.002
2023-01-11 07:00;46.575
2023-01-11 08:00;46.398
2023-01-11 09:00;48.569
2023-01-11 10:00;50.044
2023-01-11 11:00;50.505
2023-01-11 12:00;51.798
2023-01-11 13:00;50.741
2023-01-11 14:00;54.857
2023-01-11 15:00;111.658
2023-01-11 16:00;152.342
2023-01-11 17:00;145.836
2023-01-11 18:00;137.163
2023-01-11 19:00;143.99
2023-01-11 20:00;116.05
2023-01-11 21:00;85.586
2023-01-11 22:00;85.449
2023-01-11 23:00;79.281
2023-01-12 00:00;79.805
2023-01-12 01:00;74.566
2023-01-12 02:00;79.043
2023-01-12 03:00;75.77
2023-01-12 04:00;72.399
2023-01-12 05:00;79.753
2023-01-12 06:00;84.058
2023-01-12 07:00;81.773
2023-01-12 08:00;76.407
2023-01-12 09:00;70.099
2023-01-12 10:00;66.901
2023-01-12 11:00;67.202
2023-01-12 12:00;70.02
2023-01-12 13:00;79.727
2023-01-12 14:00;86.63
2023-01-12 15:00;78.652
2023-01-12 16:00;84.51
2023-01-12 17:00;90.034
2023-01-12 18:00;100.055
2023-01-12 19:00;95.554
2023-01-12 20:00;96.124
2023-01-12 21:00;104.764
2023-01-12 22:00;117.882
2023-01-12 23:00;101.233
2023-01-13 00:00;84.377
2023-01-13 01:00;94.339
2023-01-13 02:00;95.567
2023-01-13 03:00;104.57
2023-01-13 04:00;110.333
2023-01-13 05:00;117.739
2023-01-13 06:00;120.673
2023-01-13 07:00;118.904
2023-01-13 08:00;161.348
2023-01-13 09:00;153.354
2023-01-13 10:00;152.754
2023-01-13 11:00;209.719
2023-01-13 12:00;225.198
2023-01-13 13:00;207.809
2023-01-13 14:00;178.849
2023-01-13 15:00;180.583
2023-01-13 16:00;197.23
2023-01-13 17:00;213.058
2023-01-13 18:00;218.031
2023-01-13 19:00;218.137
2023-01-13 20:00;200.917
2023-01-13 21:00;171.898
2023-01-13 22:00;153.447
2023-01-13 23:00;132.331
2023-01-14 00:00;106.059
2023-01-14 01:00;68.588
2023-01-14 02:00;53.094
2023-01-14 03:00;48.534
2023-01-14 04:00;44.489
2023-01-14 05:00;44.969
2023-01-14 06:00;50.188
2023-01-14 07:00;60.246
2023-01-14 08:00;69.982
2023-01-14 09:00;70.629
2023-01-14 10:00;65.484
2023-01-14 11:00;60.158
2023-01-14 12:00;57.779
2023-01-14 13:00;70.997
2023-01-14 14:00;115.938
2023-01-14 15:00;139.459
2023-01-14 16:00;136.95
2023-01-14 17:00;132.956
2023-01-14 18:00;134.401
2023-01-14 19:00;140.232
2023-01-14 20:00;155.934
2023-01-14 21:00;178.847
2023-01-14 22:00;219.425
2023-01-14 23:00;234.972
