scenario_name,gen_positions,storage_units,load_factor
scenario_1,"{1:'nuclear',4:'solar'}","{}",1.0
scenario_2,"{3:'nuclear',4:'solar'}","{2:'battery1'}",1.0
scenario_3,"{1:'wind',5:'solar'}","{}",1.0
scenario_4,"{2:'nuclear',6:'wind'}","{4:'battery1'}",1.0
scenario_5,"{1:'solar',3:'nuclear',5:'wind'}","{4:'battery1'}",1.0
scenario_6,"{2:'wind',4:'nuclear'}","{1:'battery1',5:'battery2'}",1.0
scenario_7,"{1:'nuclear',3:'solar',6:'wind'}","{}",1.0
scenario_8,"{2:'solar',5:'nuclear'}","{3:'battery1'}",1.0
scenario_9,"{1:'wind',4:'nuclear',6:'solar'}","{2:'battery1',5:'battery2'}",1.0
scenario_10,"{3:'solar',5:'wind'}","{1:'battery1'}",1.0
scenario_11,"{2:'nuclear',4:'wind',6:'solar'}","{}",1.0
scenario_12,"{1:'solar',5:'nuclear'}","{3:'battery1',4:'battery2'}",1.0
scenario_13,"{2:'wind',4:'solar',6:'nuclear'}","{1:'battery1'}",1.0
scenario_14,"{1:'nuclear',3:'wind'}","{5:'battery1'}",1.0
scenario_15,"{2:'solar',4:'nuclear',6:'wind'}","{1:'battery1',5:'battery2'}",1.0
scenario_16,"{1:'wind',3:'solar'}","{4:'battery1'}",1.0
scenario_17,"{2:'nuclear',5:'wind',6:'solar'}","{}",1.0
scenario_18,"{1:'solar',4:'nuclear'}","{2:'battery1',6:'battery2'}",1.0
scenario_19,"{3:'wind',5:'nuclear',6:'solar'}","{1:'battery1'}",1.0
scenario_20,"{1:'nuclear',4:'wind'}","{2:'battery1',5:'battery2'}",1.0
scenario_21,"{2:'solar',3:'nuclear',6:'wind'}","{}",1.0
scenario_22,"{1:'wind',5:'solar'}","{3:'battery1',4:'battery2'}",1.0
scenario_23,"{2:'nuclear',4:'solar',6:'wind'}","{1:'battery1'}",1.0
scenario_24,"{1:'solar',3:'wind',5:'nuclear'}","{4:'battery1'}",1.0
scenario_25,"{2:'wind',4:'nuclear',6:'solar'}","{1:'battery1',5:'battery2'}",1.0
scenario_26,"{1:'nuclear',3:'solar',5:'wind'}","{}",1.0
scenario_27,"{2:'solar',4:'wind'}","{1:'battery1',6:'battery2'}",1.0
scenario_28,"{1:'wind',3:'nuclear',5:'solar'}","{2:'battery1'}",1.0
scenario_29,"{2:'nuclear',4:'solar',6:'wind'}","{1:'battery1',3:'battery2'}",1.0
scenario_30,"{1:'solar',3:'wind',5:'nuclear'}","{2:'battery1',4:'battery2'}",1.0
