Hour,Nuclear (p.u.),Wind (p.u.),Solar (p.u.),Gas (p.u.),Total Cost ($)
00,0.83,0.33,0.00,1.83,170.00
01,0.83,0.33,0.00,1.83,170.00
02,0.83,0.33,0.00,1.83,170.00
03,0.67,0.17,0.00,1.67,150.00
04,0.67,0.17,0.00,1.67,150.00
05,0.83,0.33,0.00,1.83,170.00
06,1.00,0.50,0.50,2.00,190.00
07,1.75,0.50,0.00,2.75,280.00
08,2.00,0.50,0.00,3.00,310.00
09,2.00,0.50,0.00,3.50,345.00
10,2.00,0.50,0.00,4.00,380.00
11,2.00,0.50,0.00,4.00,380.00
12,2.00,0.50,0.00,4.00,380.00
13,2.00,0.50,0.00,4.00,380.00
14,2.00,0.50,0.00,4.00,380.00
15,2.00,0.50,0.00,3.50,345.00
16,2.00,0.50,0.00,3.50,345.00
17,2.00,0.50,0.00,4.00,380.00
18,2.00,0.50,0.00,3.50,345.00
19,1.75,0.50,0.00,2.75,280.00
20,1.00,0.50,0.50,2.00,190.00
21,1.00,0.50,0.00,2.00,190.00
22,0.83,0.33,0.00,1.83,170.00
23,0.83,0.33,0.00,1.83,170.00
